[INFO] [1790324037.559923335] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790324037.634950167] [route_follower]: track: 571/972 m, 400 m left, cte +0.00 m, v 0.02 m/s, grade +12.6%
[INFO] [1790324042.330691823] [route_follower]: track: 573/972 m, 398 m left, cte +0.00 m, v 0.46 m/s, grade +12.6%
[INFO] [1790324047.331367152] [route_follower]: track: 576/972 m, 396 m left, cte -0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324052.331420540] [route_follower]: track: 578/972 m, 394 m left, cte +0.00 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324057.331147979] [route_follower]: track: 580/972 m, 391 m left, cte -0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324062.330904502] [route_follower]: track: 582/972 m, 389 m left, cte -0.05 m, v 0.46 m/s, grade +12.4%
[INFO] [1790324067.331185224] [route_follower]: track: 585/972 m, 387 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790324072.331680528] [route_follower]: track: 587/972 m, 385 m left, cte -0.01 m, v 0.45 m/s, grade +12.9%
[INFO] [1790324077.331503274] [route_follower]: track: 589/972 m, 382 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790324082.332426647] [route_follower]: track: 591/972 m, 380 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790324087.332183391] [route_follower]: track: 593/972 m, 378 m left, cte +0.01 m, v 0.44 m/s, grade +13.8%
[INFO] [1790324092.331817515] [route_follower]: track: 596/972 m, 376 m left, cte +0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790324097.331506813] [route_follower]: track: 598/972 m, 374 m left, cte +0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790324102.332032272] [route_follower]: track: 600/972 m, 372 m left, cte +0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790324107.331163337] [route_follower]: track: 602/972 m, 369 m left, cte +0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790324112.330710489] [route_follower]: track: 604/972 m, 367 m left, cte -0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790324117.331605990] [route_follower]: track: 607/972 m, 365 m left, cte +0.00 m, v 0.44 m/s, grade +13.4%
[INFO] [1790324122.331013772] [route_follower]: track: 609/972 m, 363 m left, cte -0.03 m, v 0.44 m/s, grade +13.6%
[INFO] [1790324127.331163189] [route_follower]: track: 611/972 m, 361 m left, cte -0.05 m, v 0.44 m/s, grade +13.6%
[INFO] [1790324132.332431005] [route_follower]: track: 613/972 m, 358 m left, cte -0.02 m, v 0.45 m/s, grade +12.8%
[INFO] [1790324137.334826067] [route_follower]: track: 615/972 m, 356 m left, cte -0.01 m, v 0.45 m/s, grade +12.8%
[INFO] [1790324142.330899019] [route_follower]: track: 617/972 m, 354 m left, cte +0.47 m, v 0.54 m/s, grade +3.4%
[INFO] [1790324147.330871456] [route_follower]: track: 620/972 m, 351 m left, cte +0.30 m, v 0.54 m/s, grade +3.4%
[INFO] [1790324152.330373223] [route_follower]: track: 623/972 m, 349 m left, cte +0.02 m, v 0.54 m/s, grade +5.9%
[INFO] [1790324157.331761825] [route_follower]: track: 626/972 m, 346 m left, cte +0.06 m, v 0.54 m/s, grade +5.9%
[INFO] [1790324162.332000549] [route_follower]: track: 628/972 m, 343 m left, cte +0.13 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324167.330787701] [route_follower]: track: 631/972 m, 341 m left, cte +0.13 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324172.331655009] [route_follower]: track: 634/972 m, 338 m left, cte -0.03 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324177.331235223] [route_follower]: track: 636/972 m, 335 m left, cte +0.04 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324182.330496491] [route_follower]: track: 639/972 m, 333 m left, cte -0.08 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324187.330989821] [route_follower]: track: 642/972 m, 330 m left, cte +0.06 m, v 0.54 m/s, grade +6.6%
[INFO] [1790324192.330787521] [route_follower]: track: 644/972 m, 327 m left, cte +0.02 m, v 0.54 m/s, grade +6.4%
[INFO] [1790324197.332894975] [route_follower]: track: 647/972 m, 324 m left, cte +0.00 m, v 0.54 m/s, grade +6.4%
[INFO] [1790324202.333527004] [route_follower]: track: 650/972 m, 322 m left, cte +0.03 m, v 0.54 m/s, grade +5.7%
[INFO] [1790324207.330679653] [route_follower]: track: 652/972 m, 319 m left, cte +0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324212.331520282] [route_follower]: track: 655/972 m, 316 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324217.334329046] [route_follower]: track: 658/972 m, 314 m left, cte -0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324222.331363895] [route_follower]: track: 661/972 m, 311 m left, cte +0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324227.333482951] [route_follower]: track: 663/972 m, 308 m left, cte -0.03 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324232.331410899] [route_follower]: track: 666/972 m, 306 m left, cte -0.04 m, v 0.54 m/s, grade +3.2%
[INFO] [1790324237.331262099] [route_follower]: track: 669/972 m, 303 m left, cte -0.01 m, v 0.54 m/s, grade +3.2%
[INFO] [1790324242.333200358] [route_follower]: track: 671/972 m, 300 m left, cte -0.04 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324247.332956260] [route_follower]: track: 674/972 m, 297 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324252.331546775] [route_follower]: track: 677/972 m, 295 m left, cte +0.00 m, v 0.54 m/s, grade +4.3%
[INFO] [1790324257.330690413] [route_follower]: track: 679/972 m, 292 m left, cte -0.04 m, v 0.54 m/s, grade +4.0%
[INFO] [1790324262.330805797] [route_follower]: track: 682/972 m, 289 m left, cte -0.05 m, v 0.54 m/s, grade +4.0%
[INFO] [1790324267.331749698] [route_follower]: track: 685/972 m, 287 m left, cte -0.00 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324272.331307229] [route_follower]: track: 687/972 m, 284 m left, cte +0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790324277.331629159] [route_follower]: track: 690/972 m, 281 m left, cte -0.01 m, v 0.54 m/s, grade +3.7%
[INFO] [1790324282.332802779] [route_follower]: track: 693/972 m, 279 m left, cte -0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790324287.331723741] [route_follower]: track: 696/972 m, 276 m left, cte +0.00 m, v 0.54 m/s, grade +3.7%
[INFO] [1790324292.331528635] [route_follower]: track: 698/972 m, 273 m left, cte +0.04 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324297.331046222] [route_follower]: track: 701/972 m, 271 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324302.330867816] [route_follower]: track: 704/972 m, 268 m left, cte -0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324307.331314408] [route_follower]: track: 706/972 m, 265 m left, cte -0.03 m, v 0.54 m/s, grade +4.5%
[INFO] [1790324312.331371002] [route_follower]: track: 709/972 m, 262 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324317.330618194] [route_follower]: track: 712/972 m, 260 m left, cte +0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324322.333945136] [route_follower]: track: 714/972 m, 257 m left, cte -0.00 m, v 0.54 m/s, grade +3.8%
[INFO] [1790324327.331454612] [route_follower]: track: 717/972 m, 254 m left, cte -0.00 m, v 0.54 m/s, grade +3.8%
[INFO] [1790324332.330941542] [route_follower]: track: 720/972 m, 252 m left, cte +0.00 m, v 0.54 m/s, grade +4.0%
[INFO] [1790324337.330817228] [route_follower]: track: 723/972 m, 249 m left, cte -0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324342.330908145] [route_follower]: track: 725/972 m, 246 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324347.331272043] [route_follower]: track: 728/972 m, 244 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324352.331931192] [route_follower]: track: 731/972 m, 241 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324357.330742169] [route_follower]: track: 733/972 m, 238 m left, cte -0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324362.332639862] [route_follower]: track: 736/972 m, 235 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324367.331842390] [route_follower]: track: 739/972 m, 233 m left, cte -0.02 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324372.331582874] [route_follower]: track: 741/972 m, 230 m left, cte +0.06 m, v 0.54 m/s, grade +4.1%
[INFO] [1790324377.331556793] [route_follower]: track: 744/972 m, 227 m left, cte +0.00 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324382.331094608] [route_follower]: track: 747/972 m, 225 m left, cte -0.04 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324387.331272838] [route_follower]: track: 749/972 m, 222 m left, cte +0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324392.330874703] [route_follower]: track: 752/972 m, 219 m left, cte +0.03 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324397.331500880] [route_follower]: track: 755/972 m, 217 m left, cte -0.07 m, v 0.54 m/s, grade +4.4%
[INFO] [1790324402.334138966] [route_follower]: track: 758/972 m, 214 m left, cte +0.14 m, v 0.54 m/s, grade +4.2%
[INFO] [1790324407.331310601] [route_follower]: track: 760/972 m, 211 m left, cte +0.06 m, v 0.54 m/s, grade +4.5%
[INFO] [1790324412.331475266] [route_follower]: track: 763/972 m, 209 m left, cte -0.02 m, v 0.54 m/s, grade +4.5%
[INFO] [1790324417.330899108] [route_follower]: track: 766/972 m, 206 m left, cte -0.03 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324422.331314412] [route_follower]: track: 768/972 m, 203 m left, cte -0.01 m, v 0.54 m/s, grade +5.4%
[INFO] [1790324427.332079990] [route_follower]: track: 771/972 m, 201 m left, cte -0.00 m, v 0.54 m/s, grade +5.8%
[INFO] [1790324432.330503814] [route_follower]: track: 774/972 m, 198 m left, cte -0.04 m, v 0.54 m/s, grade +5.3%
[INFO] [1790324437.331836341] [route_follower]: track: 776/972 m, 195 m left, cte -0.02 m, v 0.54 m/s, grade +5.3%
[INFO] [1790324442.332101564] [route_follower]: track: 779/972 m, 192 m left, cte +0.00 m, v 0.54 m/s, grade +5.7%
[INFO] [1790324447.331227039] [route_follower]: track: 782/972 m, 190 m left, cte +0.07 m, v 0.54 m/s, grade +5.7%
[INFO] [1790324452.334558499] [route_follower]: track: 784/972 m, 187 m left, cte -0.06 m, v 0.54 m/s, grade +7.0%
[INFO] [1790324457.331090099] [route_follower]: track: 787/972 m, 184 m left, cte -0.01 m, v 0.54 m/s, grade +7.4%
[INFO] [1790324462.331448015] [route_follower]: track: 790/972 m, 182 m left, cte +0.02 m, v 0.54 m/s, grade +7.4%
[INFO] [1790324467.331496183] [route_follower]: track: 793/972 m, 179 m left, cte -0.13 m, v 0.54 m/s, grade +7.2%
[INFO] [1790324472.331344498] [route_follower]: track: 795/972 m, 176 m left, cte -0.02 m, v 0.54 m/s, grade +7.6%
[INFO] [1790324477.330714178] [route_follower]: track: 798/972 m, 174 m left, cte +0.01 m, v 0.54 m/s, grade +7.6%
[INFO] [1790324482.331086332] [route_follower]: track: 801/972 m, 171 m left, cte -0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790324487.331137675] [route_follower]: track: 803/972 m, 168 m left, cte -0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790324492.331341464] [route_follower]: track: 806/972 m, 166 m left, cte +0.00 m, v 0.53 m/s, grade +8.8%
[INFO] [1790324497.330642416] [route_follower]: track: 808/972 m, 163 m left, cte +0.00 m, v 0.54 m/s, grade +7.0%
[INFO] [1790324502.331868274] [route_follower]: track: 811/972 m, 160 m left, cte +0.00 m, v 0.54 m/s, grade +7.0%
[INFO] [1790324507.330619940] [route_follower]: track: 814/972 m, 158 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790324512.331763965] [route_follower]: track: 817/972 m, 155 m left, cte +0.02 m, v 0.54 m/s, grade +7.7%
[INFO] [1790324517.331357334] [route_follower]: track: 819/972 m, 152 m left, cte +0.03 m, v 0.53 m/s, grade +8.3%
[INFO] [1790324522.331164862] [route_follower]: track: 822/972 m, 150 m left, cte -0.00 m, v 0.53 m/s, grade +8.3%
[INFO] [1790324527.332302204] [route_follower]: track: 825/972 m, 147 m left, cte +0.12 m, v 0.54 m/s, grade +7.7%
[INFO] [1790324532.331504422] [route_follower]: track: 827/972 m, 144 m left, cte -0.05 m, v 0.54 m/s, grade +7.7%
[INFO] [1790324537.331211012] [route_follower]: track: 830/972 m, 142 m left, cte +0.12 m, v 0.51 m/s, grade +9.5%
[INFO] [1790324542.331204458] [route_follower]: track: 832/972 m, 139 m left, cte +0.08 m, v 0.50 m/s, grade +10.3%
[INFO] [1790324547.331746398] [route_follower]: track: 835/972 m, 137 m left, cte +0.05 m, v 0.50 m/s, grade +10.3%
[INFO] [1790324552.333229977] [route_follower]: track: 837/972 m, 134 m left, cte +0.05 m, v 0.48 m/s, grade +11.2%
[INFO] [1790324557.331011842] [route_follower]: track: 840/972 m, 132 m left, cte +0.03 m, v 0.48 m/s, grade +11.2%
[INFO] [1790324562.333882773] [route_follower]: track: 842/972 m, 129 m left, cte +0.01 m, v 0.53 m/s, grade +8.5%
[INFO] [1790324567.331984615] [route_follower]: track: 845/972 m, 127 m left, cte +0.00 m, v 0.53 m/s, grade +8.5%
[INFO] [1790324572.331583734] [route_follower]: track: 847/972 m, 124 m left, cte -0.01 m, v 0.51 m/s, grade +9.5%
[INFO] [1790324577.330826518] [route_follower]: track: 850/972 m, 122 m left, cte +0.01 m, v 0.51 m/s, grade +9.5%
[INFO] [1790324582.332047667] [route_follower]: track: 852/972 m, 119 m left, cte -0.22 m, v 0.51 m/s, grade +9.9%
[INFO] [1790324587.332096927] [route_follower]: track: 855/972 m, 117 m left, cte -0.06 m, v 0.51 m/s, grade +9.9%
[INFO] [1790324592.331546717] [route_follower]: track: 857/972 m, 114 m left, cte -0.09 m, v 0.50 m/s, grade +10.3%
[INFO] [1790324597.330724449] [route_follower]: track: 860/972 m, 112 m left, cte -0.22 m, v 0.50 m/s, grade +10.3%
[INFO] [1790324602.330812692] [route_follower]: track: 862/972 m, 110 m left, cte -0.42 m, v 0.51 m/s, grade +9.7%
[INFO] [1790324607.333605657] [route_follower]: track: 864/972 m, 107 m left, cte -0.13 m, v 0.51 m/s, grade +9.7%
[INFO] [1790324612.332160826] [route_follower]: track: 867/972 m, 105 m left, cte -0.17 m, v 0.50 m/s, grade +10.5%
[INFO] [1790324617.331506712] [route_follower]: track: 869/972 m, 102 m left, cte -0.17 m, v 0.50 m/s, grade +10.5%
[INFO] [1790324622.331011735] [route_follower]: track: 872/972 m, 100 m left, cte -0.01 m, v 0.48 m/s, grade +11.1%
[INFO] [1790324627.330553027] [route_follower]: track: 874/972 m, 97 m left, cte -0.02 m, v 0.48 m/s, grade +11.1%
[INFO] [1790324632.333386407] [route_follower]: track: 876/972 m, 95 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790324637.330883760] [route_follower]: track: 879/972 m, 93 m left, cte -0.04 m, v 0.48 m/s, grade +11.4%
[INFO] [1790324642.331192675] [route_follower]: track: 881/972 m, 90 m left, cte -0.04 m, v 0.47 m/s, grade +11.7%
