[INFO] [1790328173.730849004] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790328178.764756588] [route_follower]: track: 574/972 m, 398 m left, cte +0.22 m, v 0.46 m/s, grade +12.6%
[INFO] [1790328183.764358933] [route_follower]: track: 576/972 m, 395 m left, cte +0.10 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328188.773495287] [route_follower]: track: 579/972 m, 393 m left, cte +0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328193.773618014] [route_follower]: track: 581/972 m, 390 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328198.774315685] [route_follower]: track: 584/972 m, 388 m left, cte +0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328203.773372822] [route_follower]: track: 586/972 m, 386 m left, cte +0.04 m, v 0.45 m/s, grade +12.9%
[INFO] [1790328208.789113141] [route_follower]: track: 588/972 m, 383 m left, cte +0.03 m, v 0.45 m/s, grade +12.9%
[INFO] [1790328213.787187703] [route_follower]: track: 590/972 m, 381 m left, cte +0.03 m, v 0.44 m/s, grade +13.7%
[INFO] [1790328218.786779628] [route_follower]: track: 593/972 m, 379 m left, cte -0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790328223.786678187] [route_follower]: track: 595/972 m, 377 m left, cte -0.04 m, v 0.44 m/s, grade +13.8%
[INFO] [1790328228.788889696] [route_follower]: track: 597/972 m, 374 m left, cte -0.07 m, v 0.44 m/s, grade +13.8%
[INFO] [1790328233.792165643] [route_follower]: track: 599/972 m, 372 m left, cte -0.09 m, v 0.44 m/s, grade +13.5%
[INFO] [1790328238.796419697] [route_follower]: track: 601/972 m, 370 m left, cte -0.07 m, v 0.44 m/s, grade +13.5%
[INFO] [1790328243.796297737] [route_follower]: track: 604/972 m, 368 m left, cte -0.02 m, v 0.44 m/s, grade +13.4%
[INFO] [1790328248.796597194] [route_follower]: track: 606/972 m, 366 m left, cte -0.02 m, v 0.44 m/s, grade +13.4%
[INFO] [1790328253.804337981] [route_follower]: track: 608/972 m, 363 m left, cte -0.02 m, v 0.44 m/s, grade +13.6%
[INFO] [1790328258.806066728] [route_follower]: track: 610/972 m, 361 m left, cte -0.04 m, v 0.44 m/s, grade +13.6%
[INFO] [1790328263.809725030] [route_follower]: track: 612/972 m, 359 m left, cte -0.03 m, v 0.45 m/s, grade +12.8%
[INFO] [1790328268.810524220] [route_follower]: track: 615/972 m, 357 m left, cte +0.00 m, v 0.45 m/s, grade +12.8%
[INFO] [1790328273.809937332] [route_follower]: track: 617/972 m, 354 m left, cte +0.12 m, v 0.54 m/s, grade +3.4%
[INFO] [1790328278.819576906] [route_follower]: track: 620/972 m, 352 m left, cte +0.30 m, v 0.54 m/s, grade +3.4%
[INFO] [1790328283.821079591] [route_follower]: track: 622/972 m, 349 m left, cte -0.07 m, v 0.54 m/s, grade +5.9%
[INFO] [1790328288.820021071] [route_follower]: track: 625/972 m, 346 m left, cte +0.07 m, v 0.54 m/s, grade +5.9%
[INFO] [1790328293.819473196] [route_follower]: track: 628/972 m, 344 m left, cte +0.05 m, v 0.54 m/s, grade +4.1%
[INFO] [1790328298.819176760] [route_follower]: track: 631/972 m, 341 m left, cte +0.06 m, v 0.54 m/s, grade +4.1%
[INFO] [1790328303.818630638] [route_follower]: track: 633/972 m, 338 m left, cte -0.05 m, v 0.54 m/s, grade +4.1%
[INFO] [1790328308.819336174] [route_follower]: track: 636/972 m, 335 m left, cte +0.01 m, v 0.54 m/s, grade +5.4%
[INFO] [1790328313.820499084] [route_follower]: track: 639/972 m, 333 m left, cte -0.10 m, v 0.54 m/s, grade +5.4%
[INFO] [1790328318.820634966] [route_follower]: track: 642/972 m, 330 m left, cte +0.19 m, v 0.54 m/s, grade +6.6%
[INFO] [1790328323.819952870] [route_follower]: track: 644/972 m, 327 m left, cte +0.05 m, v 0.54 m/s, grade +6.4%
