[INFO] [1790328953.199185537] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790328953.314284149] [route_follower]: align: 575/972 m, 397 m left, cte +2.32 m, v 0.06 m/s, grade +12.6%
[INFO] [1790328954.016632401] [route_follower]: align: 575/972 m, 397 m left, cte +2.31 m, v 0.06 m/s, grade +12.6%
[INFO] [1790328959.016165797] [route_follower]: track: 575/972 m, 396 m left, cte +1.94 m, v 0.46 m/s, grade +12.6%
[INFO] [1790328964.017864188] [route_follower]: track: 577/972 m, 395 m left, cte +0.30 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328969.016032334] [route_follower]: track: 578/972 m, 393 m left, cte -0.46 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328974.016095781] [route_follower]: track: 581/972 m, 391 m left, cte -0.18 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328979.018518744] [route_follower]: track: 583/972 m, 389 m left, cte +0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790328984.016131313] [route_follower]: track: 585/972 m, 387 m left, cte -0.05 m, v 0.45 m/s, grade +12.9%
[INFO] [1790328989.018192992] [route_follower]: track: 587/972 m, 384 m left, cte -0.13 m, v 0.45 m/s, grade +12.9%
[INFO] [1790328994.016614251] [route_follower]: track: 589/972 m, 382 m left, cte -0.07 m, v 0.44 m/s, grade +13.7%
[INFO] [1790328999.016581708] [route_follower]: track: 591/972 m, 380 m left, cte +0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790329004.015625771] [route_follower]: track: 593/972 m, 378 m left, cte +0.03 m, v 0.44 m/s, grade +13.8%
[INFO] [1790329009.015626470] [route_follower]: track: 595/972 m, 376 m left, cte -0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790329014.016705123] [route_follower]: track: 598/972 m, 374 m left, cte -0.05 m, v 0.44 m/s, grade +13.5%
[INFO] [1790329019.016961149] [route_follower]: track: 600/972 m, 372 m left, cte -0.05 m, v 0.44 m/s, grade +13.5%
[INFO] [1790329024.017314146] [route_follower]: track: 602/972 m, 370 m left, cte -0.03 m, v 0.44 m/s, grade +13.5%
[INFO] [1790329029.016811435] [route_follower]: track: 604/972 m, 368 m left, cte -0.03 m, v 0.44 m/s, grade +13.4%
[INFO] [1790329034.017536347] [route_follower]: track: 606/972 m, 365 m left, cte -0.05 m, v 0.44 m/s, grade +13.4%
[INFO] [1790329039.016709461] [route_follower]: track: 608/972 m, 363 m left, cte -0.11 m, v 0.44 m/s, grade +13.6%
[INFO] [1790329044.017937683] [route_follower]: track: 610/972 m, 361 m left, cte -0.15 m, v 0.44 m/s, grade +13.6%
[INFO] [1790329049.015658974] [route_follower]: track: 612/972 m, 359 m left, cte -0.12 m, v 0.45 m/s, grade +12.8%
[INFO] [1790329054.018968364] [route_follower]: track: 615/972 m, 357 m left, cte -0.08 m, v 0.45 m/s, grade +12.8%
[INFO] [1790329059.018203443] [route_follower]: track: 617/972 m, 354 m left, cte +0.18 m, v 0.54 m/s, grade +3.4%
[INFO] [1790329064.015943700] [route_follower]: track: 620/972 m, 351 m left, cte +0.27 m, v 0.54 m/s, grade +3.4%
[INFO] [1790329069.019355992] [route_follower]: track: 623/972 m, 349 m left, cte +0.03 m, v 0.54 m/s, grade +5.9%
[INFO] [1790329074.017119693] [route_follower]: track: 626/972 m, 346 m left, cte +0.20 m, v 0.54 m/s, grade +5.9%
[INFO] [1790329079.017026577] [route_follower]: track: 628/972 m, 343 m left, cte +0.21 m, v 0.54 m/s, grade +4.1%
[INFO] [1790329084.016907302] [route_follower]: track: 631/972 m, 341 m left, cte +0.07 m, v 0.54 m/s, grade +4.1%
[INFO] [1790329089.016929742] [route_follower]: track: 634/972 m, 338 m left, cte -0.03 m, v 0.54 m/s, grade +5.4%
[INFO] [1790329094.016146477] [route_follower]: track: 636/972 m, 335 m left, cte +0.02 m, v 0.54 m/s, grade +5.4%
[INFO] [1790329099.016448409] [route_follower]: track: 639/972 m, 332 m left, cte -0.07 m, v 0.54 m/s, grade +6.6%
[INFO] [1790329104.016968789] [route_follower]: track: 642/972 m, 330 m left, cte +0.08 m, v 0.54 m/s, grade +6.6%
[INFO] [1790329109.016248902] [route_follower]: track: 645/972 m, 327 m left, cte +0.07 m, v 0.54 m/s, grade +6.4%
[INFO] [1790329114.016895979] [route_follower]: track: 647/972 m, 324 m left, cte +0.04 m, v 0.54 m/s, grade +6.4%
[INFO] [1790329119.018633232] [route_follower]: track: 650/972 m, 321 m left, cte +0.04 m, v 0.54 m/s, grade +5.7%
[INFO] [1790329124.017637409] [route_follower]: track: 653/972 m, 318 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329129.016426145] [route_follower]: track: 656/972 m, 316 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790329134.017009222] [route_follower]: track: 659/972 m, 313 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790329139.017174990] [route_follower]: track: 661/972 m, 310 m left, cte -0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790329144.016477495] [route_follower]: track: 664/972 m, 307 m left, cte +0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790329149.015595525] [route_follower]: track: 667/972 m, 305 m left, cte -0.13 m, v 0.54 m/s, grade +3.2%
[INFO] [1790329154.016910680] [route_follower]: track: 670/972 m, 302 m left, cte +0.01 m, v 0.54 m/s, grade +3.2%
[INFO] [1790329159.016893245] [route_follower]: track: 672/972 m, 299 m left, cte -0.06 m, v 0.54 m/s, grade +4.3%
[INFO] [1790329164.017318998] [route_follower]: track: 675/972 m, 296 m left, cte -0.03 m, v 0.54 m/s, grade +4.3%
