[INFO] [1790326500.534983534] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790326500.630496522] [route_follower]: track: 572/972 m, 400 m left, cte +0.02 m, v 0.02 m/s, grade +12.6%
[INFO] [1790326503.239010789] [route_follower]: track: 572/972 m, 399 m left, cte +0.04 m, v 0.46 m/s, grade +12.6%
[INFO] [1790326508.238330026] [route_follower]: track: 575/972 m, 397 m left, cte -0.04 m, v 0.46 m/s, grade +12.6%
[INFO] [1790326513.238766319] [route_follower]: track: 577/972 m, 395 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790326518.238492365] [route_follower]: track: 579/972 m, 392 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790326523.239381554] [route_follower]: track: 582/972 m, 390 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790326528.240433427] [route_follower]: track: 584/972 m, 388 m left, cte -0.03 m, v 0.46 m/s, grade +12.4%
[INFO] [1790326533.240390244] [route_follower]: track: 586/972 m, 385 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790326538.240153450] [route_follower]: track: 588/972 m, 383 m left, cte -0.01 m, v 0.45 m/s, grade +12.9%
[INFO] [1790326543.238612319] [route_follower]: track: 590/972 m, 381 m left, cte +0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790326548.238981797] [route_follower]: track: 593/972 m, 379 m left, cte -0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790326553.239269222] [route_follower]: track: 595/972 m, 377 m left, cte +0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790326558.238372014] [route_follower]: track: 597/972 m, 375 m left, cte +0.00 m, v 0.44 m/s, grade +13.8%
[INFO] [1790326563.238526330] [route_follower]: track: 599/972 m, 372 m left, cte -0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790326568.239338555] [route_follower]: track: 601/972 m, 370 m left, cte -0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790326573.238983300] [route_follower]: track: 603/972 m, 368 m left, cte -0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790326578.238749120] [route_follower]: track: 606/972 m, 366 m left, cte -0.02 m, v 0.44 m/s, grade +13.4%
[INFO] [1790326583.239666281] [route_follower]: track: 608/972 m, 364 m left, cte -0.03 m, v 0.44 m/s, grade +13.6%
[INFO] [1790326588.238741853] [route_follower]: track: 610/972 m, 362 m left, cte -0.05 m, v 0.44 m/s, grade +13.6%
[INFO] [1790326593.238309613] [route_follower]: track: 612/972 m, 359 m left, cte -0.03 m, v 0.45 m/s, grade +12.8%
[INFO] [1790326598.239123361] [route_follower]: track: 614/972 m, 357 m left, cte -0.02 m, v 0.45 m/s, grade +12.8%
[INFO] [1790326603.238767564] [route_follower]: track: 617/972 m, 355 m left, cte +0.19 m, v 0.54 m/s, grade +3.4%
[INFO] [1790326608.242834138] [route_follower]: track: 619/972 m, 352 m left, cte +0.80 m, v 0.54 m/s, grade +3.4%
[INFO] [1790326613.243268448] [route_follower]: track: 622/972 m, 350 m left, cte +0.01 m, v 0.54 m/s, grade +3.4%
[INFO] [1790326618.247758763] [route_follower]: track: 625/972 m, 347 m left, cte +0.04 m, v 0.54 m/s, grade +5.9%
[INFO] [1790326623.247422433] [route_follower]: track: 627/972 m, 344 m left, cte +0.03 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326628.247979611] [route_follower]: track: 630/972 m, 342 m left, cte +0.09 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326633.249660730] [route_follower]: track: 633/972 m, 339 m left, cte +0.00 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326638.249085623] [route_follower]: track: 635/972 m, 336 m left, cte +0.03 m, v 0.54 m/s, grade +5.4%
[INFO] [1790326643.248202301] [route_follower]: track: 638/972 m, 333 m left, cte -0.04 m, v 0.54 m/s, grade +5.4%
[INFO] [1790326648.247875238] [route_follower]: track: 641/972 m, 331 m left, cte +0.04 m, v 0.54 m/s, grade +6.6%
[INFO] [1790326653.249322109] [route_follower]: track: 644/972 m, 328 m left, cte +0.02 m, v 0.54 m/s, grade +6.4%
[INFO] [1790326658.248771629] [route_follower]: track: 646/972 m, 325 m left, cte +0.01 m, v 0.54 m/s, grade +6.4%
[INFO] [1790326663.252476146] [route_follower]: track: 649/972 m, 323 m left, cte +0.01 m, v 0.54 m/s, grade +5.7%
[INFO] [1790326668.252034179] [route_follower]: track: 652/972 m, 320 m left, cte +0.03 m, v 0.54 m/s, grade +5.7%
[INFO] [1790326673.256291018] [route_follower]: track: 654/972 m, 317 m left, cte -0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326678.255803866] [route_follower]: track: 657/972 m, 314 m left, cte -0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326683.256472122] [route_follower]: track: 660/972 m, 312 m left, cte -0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326688.255727920] [route_follower]: track: 662/972 m, 309 m left, cte -0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326693.256237209] [route_follower]: track: 665/972 m, 306 m left, cte -0.01 m, v 0.54 m/s, grade +3.2%
[INFO] [1790326698.310922754] [route_follower]: track: 668/972 m, 304 m left, cte +0.01 m, v 0.54 m/s, grade +3.2%
[INFO] [1790326703.310779565] [route_follower]: track: 671/972 m, 301 m left, cte +0.02 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326708.310324763] [route_follower]: track: 673/972 m, 298 m left, cte +0.01 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326713.310845945] [route_follower]: track: 676/972 m, 296 m left, cte -0.03 m, v 0.54 m/s, grade +4.3%
[INFO] [1790326718.311564244] [route_follower]: track: 679/972 m, 293 m left, cte -0.06 m, v 0.54 m/s, grade +4.0%
[INFO] [1790326723.310589983] [route_follower]: track: 681/972 m, 290 m left, cte -0.07 m, v 0.54 m/s, grade +4.0%
[INFO] [1790326728.311726774] [route_follower]: track: 684/972 m, 287 m left, cte -0.01 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326733.313127348] [route_follower]: track: 687/972 m, 285 m left, cte -0.01 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326738.310643476] [route_follower]: track: 689/972 m, 282 m left, cte -0.09 m, v 0.54 m/s, grade +3.7%
[INFO] [1790326743.310726800] [route_follower]: track: 692/972 m, 279 m left, cte -0.02 m, v 0.54 m/s, grade +3.7%
[INFO] [1790326748.311979508] [route_follower]: track: 695/972 m, 277 m left, cte +0.04 m, v 0.54 m/s, grade +3.7%
[INFO] [1790326753.311554772] [route_follower]: track: 698/972 m, 274 m left, cte -0.00 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326758.311157048] [route_follower]: track: 700/972 m, 271 m left, cte +0.05 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326763.312569444] [route_follower]: track: 703/972 m, 269 m left, cte +0.02 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326768.310903169] [route_follower]: track: 706/972 m, 266 m left, cte -0.01 m, v 0.54 m/s, grade +4.5%
[INFO] [1790326773.311234406] [route_follower]: track: 708/972 m, 263 m left, cte +0.01 m, v 0.54 m/s, grade +4.5%
[INFO] [1790326778.312019841] [route_follower]: track: 711/972 m, 260 m left, cte +0.07 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326783.322076123] [route_follower]: track: 714/972 m, 258 m left, cte -0.01 m, v 0.54 m/s, grade +3.8%
[INFO] [1790326788.332362645] [route_follower]: track: 716/972 m, 255 m left, cte -0.01 m, v 0.54 m/s, grade +3.8%
[INFO] [1790326793.334225363] [route_follower]: track: 719/972 m, 252 m left, cte +0.05 m, v 0.54 m/s, grade +4.0%
[INFO] [1790326798.342386605] [route_follower]: track: 722/972 m, 250 m left, cte -0.01 m, v 0.54 m/s, grade +4.0%
[INFO] [1790326803.338772372] [route_follower]: track: 725/972 m, 247 m left, cte -0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326808.338807165] [route_follower]: track: 727/972 m, 244 m left, cte +0.05 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326813.338559931] [route_follower]: track: 730/972 m, 242 m left, cte +0.05 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326818.338741478] [route_follower]: track: 733/972 m, 239 m left, cte -0.04 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326823.339481739] [route_follower]: track: 735/972 m, 236 m left, cte +0.01 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326828.367519258] [route_follower]: track: 738/972 m, 233 m left, cte -0.04 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326833.377267264] [route_follower]: track: 741/972 m, 231 m left, cte +0.02 m, v 0.54 m/s, grade +4.1%
[INFO] [1790326838.376742141] [route_follower]: track: 743/972 m, 228 m left, cte -0.03 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326843.376489607] [route_follower]: track: 746/972 m, 225 m left, cte -0.04 m, v 0.54 m/s, grade +4.2%
[INFO] [1790326848.381496307] [route_follower]: track: 749/972 m, 223 m left, cte +0.01 m, v 0.54 m/s, grade +4.4%
[INFO] [1790326853.380846992] [route_follower]: track: 752/972 m, 220 m left, cte +0.01 m, v 0.54 m/s, grade +4.4%
