[INFO] [1790367105.590139175] [route_follower]: route turbine_07: 972 m, 220 points (/home/shyam/Rover2Drone/config/routes/route_turbine_07.json); v_max 0.54 m/s
[INFO] [1790367110.561448073] [route_follower]: track: 573/972 m, 398 m left, cte -0.00 m, v 0.46 m/s, grade +12.6%
[INFO] [1790367115.562249914] [route_follower]: track: 576/972 m, 396 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367120.573181039] [route_follower]: track: 578/972 m, 394 m left, cte +0.01 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367125.584125869] [route_follower]: track: 580/972 m, 391 m left, cte -0.02 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367130.595249066] [route_follower]: track: 583/972 m, 389 m left, cte -0.06 m, v 0.46 m/s, grade +12.4%
[INFO] [1790367135.599497641] [route_follower]: track: 585/972 m, 387 m left, cte -0.02 m, v 0.45 m/s, grade +12.9%
[INFO] [1790367140.599929756] [route_follower]: track: 587/972 m, 385 m left, cte -0.01 m, v 0.45 m/s, grade +12.9%
[INFO] [1790367145.603868226] [route_follower]: track: 589/972 m, 382 m left, cte +0.00 m, v 0.44 m/s, grade +13.7%
[INFO] [1790367150.616646361] [route_follower]: track: 591/972 m, 380 m left, cte +0.01 m, v 0.44 m/s, grade +13.7%
[INFO] [1790367155.636195441] [route_follower]: track: 594/972 m, 378 m left, cte +0.02 m, v 0.44 m/s, grade +13.8%
[INFO] [1790367160.643467613] [route_follower]: track: 596/972 m, 376 m left, cte +0.04 m, v 0.44 m/s, grade +13.8%
[INFO] [1790367165.642293461] [route_follower]: track: 598/972 m, 374 m left, cte +0.01 m, v 0.44 m/s, grade +13.5%
[INFO] [1790367170.642983352] [route_follower]: track: 600/972 m, 372 m left, cte -0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790367175.652695279] [route_follower]: track: 602/972 m, 369 m left, cte +0.00 m, v 0.44 m/s, grade +13.5%
[INFO] [1790367180.663996842] [route_follower]: track: 604/972 m, 367 m left, cte +0.01 m, v 0.44 m/s, grade +13.4%
[INFO] [1790367185.669931273] [route_follower]: track: 607/972 m, 365 m left, cte +0.02 m, v 0.44 m/s, grade +13.4%
[INFO] [1790367190.669215736] [route_follower]: track: 609/972 m, 363 m left, cte -0.02 m, v 0.44 m/s, grade +13.6%
[INFO] [1790367195.670553256] [route_follower]: track: 611/972 m, 361 m left, cte -0.05 m, v 0.44 m/s, grade +13.6%
[INFO] [1790367200.707526764] [route_follower]: track: 613/972 m, 358 m left, cte -0.02 m, v 0.45 m/s, grade +12.8%
[INFO] [1790367205.712474887] [route_follower]: track: 615/972 m, 356 m left, cte -0.02 m, v 0.45 m/s, grade +12.8%
[INFO] [1790367210.716250050] [route_follower]: track: 618/972 m, 354 m left, cte +0.63 m, v 0.54 m/s, grade +3.4%
[INFO] [1790367215.723757855] [route_follower]: track: 620/972 m, 351 m left, cte +0.31 m, v 0.54 m/s, grade +3.4%
